,mean_abs_shap
UNRATE_d1,0.9266374
UNRATE_d1_roll3,0.7126515
FEDFUNDS_d1_roll6,0.6309811
FEDFUNDS_d1,0.42022675
UNRATE_d1_roll6,0.37479672
INDPRO_lgyoy_lag2,0.33305496
CPIAUCSL_lgyoy,0.29430813
INDPRO_lgyoy_lag3,0.24856585
INDPRO_lgyoy_roll3,0.23131044
CPIAUCSL_lgyoy_roll6,0.2014992
UNRATE_d1_lag1,0.19120857
FEDFUNDS_d1_lag1,0.13511044
INDPRO_lgyoy_roll6,0.118359245
UNRATE_d1_lag3,0.11485043
INDPRO_lgyoy,0.108204536
CPIAUCSL_lgyoy_lag1,0.09674915
CPIAUCSL_lgyoy_lag2,0.092774354
INDPRO_lgyoy_lag1,0.08878271
FEDFUNDS_d1_roll3,0.0805778
FEDFUNDS_d1_lag2,0.080365665
T10Y2Y_lag2,0.073334
FEDFUNDS_d1_lag3,0.068272285
UNRATE_d1_lag2,0.065891124
CPIAUCSL_lgyoy_roll3,0.062385995
T10Y2Y_roll6,0.05913488
CPIAUCSL_lgyoy_lag3,0.05649234
T10Y2Y_lag1,0.040407304
BAA10Y,0.035051946
T10Y2Y_lag3,0.031697564
BAA10Y_lag2,0.031174751
post_2008,0.023011018
T10Y2Y,0.013907588
BAA10Y_lag3,0.01177251
T10Y2Y_roll3,0.011448509
BAA10Y_roll3,0.0096705
BAA10Y_lag1,0.004502286
BAA10Y_roll6,0.0021812955
post_2020,0.0
